Feature,Importance
TotalCharges,0.1882425338709985
MonthlyCharges,0.18134441572231721
tenure,0.15813153047760628
Contract,0.07959825030300173
PaymentMethod,0.051067165187739356
OnlineSecurity,0.04526602489732062
TechSupport,0.043398144136640796
gender,0.02776836342422034
InternetService,0.02734114618864376
OnlineBackup,0.027158023546736784
PaperlessBilling,0.02495750188247976
MultipleLines,0.022687994289607664
Partner,0.021902529696110763
DeviceProtection,0.021338772284092363
SeniorCitizen,0.020991319015767416
Dependents,0.019641642303571172
StreamingTV,0.01740271071316062
StreamingMovies,0.017027961269712136
PhoneService,0.00473397079027269
